timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/04/07 16:48:28.831, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/04/07 16:48:31.831, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/04/07 16:48:34.832, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/04/07 16:48:37.832, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/04/07 16:48:40.833, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/04/07 16:48:43.833, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/04/07 16:48:46.833, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/04/07 16:48:49.834, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/04/07 16:48:52.834, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/04/07 16:48:55.835, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 29, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/04/07 16:48:58.835, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 1 %, 0 %, 16384 MiB, 15675 MiB, 485 MiB
2023/04/07 16:49:01.836, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 3 %, 0 %, 16384 MiB, 15171 MiB, 989 MiB
2023/04/07 16:49:04.836, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/04/07 16:49:07.837, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/04/07 16:49:10.837, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/04/07 16:49:13.838, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/04/07 16:49:16.838, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/04/07 16:49:19.839, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 8 %, 0 %, 16384 MiB, 14627 MiB, 1533 MiB
2023/04/07 16:49:22.839, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 14627 MiB, 1533 MiB
2023/04/07 16:49:25.839, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 13235 MiB, 2925 MiB
2023/04/07 16:49:28.840, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 13235 MiB, 2925 MiB
2023/04/07 16:49:31.840, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 13235 MiB, 2925 MiB
2023/04/07 16:49:34.841, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 2 %, 0 %, 16384 MiB, 12985 MiB, 3175 MiB
2023/04/07 16:49:37.841, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 66 %, 42 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:49:40.842, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 35, 68 %, 45 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:49:43.842, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 36, 84 %, 61 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:49:46.843, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 37, 46 %, 23 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:49:49.843, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 38, 59 %, 45 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:49:52.843, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 39, 53 %, 36 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:49:55.844, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 39, 75 %, 48 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:49:58.844, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 39, 80 %, 64 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:01.845, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 41, 75 %, 39 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:04.845, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 41, 69 %, 50 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:07.846, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 41, 56 %, 29 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:10.846, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 42, 57 %, 44 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:13.847, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 42, 72 %, 53 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:16.847, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 43, 53 %, 36 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:19.848, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 43, 71 %, 45 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:22.848, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 43, 89 %, 72 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:25.849, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 43, 82 %, 45 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:28.849, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 45, 73 %, 56 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:31.850, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 45, 70 %, 38 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:34.851, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 45, 78 %, 50 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:37.852, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 45, 95 %, 74 %, 16384 MiB, 5549 MiB, 10611 MiB
2023/04/07 16:50:40.852, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 45, 84 %, 45 %, 16384 MiB, 5549 MiB, 10611 MiB
