timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/27 13:16:58.156, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:01.156, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 67 %, 36 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:01.156, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:04.157, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 48 %, 34 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:04.157, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:07.157, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 53 %, 27 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:07.158, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:10.158, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 55 %, 36 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:10.158, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:13.159, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 71 %, 37 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:13.159, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:16.160, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 52, 85 %, 64 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:16.160, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:19.161, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 52, 83 %, 45 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:19.161, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:22.161, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 92 %, 71 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:22.162, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:25.162, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 86 %, 55 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:25.162, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:28.163, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 75 %, 60 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:28.163, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:31.163, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 66 %, 36 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:31.164, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:34.164, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 71 %, 53 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:34.164, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:37.165, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 73 %, 38 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:37.165, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:40.165, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 88 %, 63 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:40.166, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:43.166, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 86 %, 51 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:43.166, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:46.167, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 72 %, 55 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:46.167, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:49.167, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 66 %, 47 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:49.168, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:52.168, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 48 %, 25 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:52.168, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:55.169, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 44 %, 27 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:55.169, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:17:58.169, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 69 %, 37 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:17:58.170, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:01.170, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 52, 55 %, 44 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:01.170, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:04.171, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 52, 71 %, 38 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:04.171, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:07.172, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 85 %, 63 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:07.172, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:10.172, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 85 %, 48 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:10.173, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:13.173, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 52, 65 %, 49 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:13.173, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:16.174, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 81 %, 45 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:16.174, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:19.175, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 90 %, 71 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:19.175, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:22.176, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 81 %, 52 %, 16384 MiB, 5699 MiB, 10461 MiB
