timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/21 01:59:30.262, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:30.262, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:33.263, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 01:59:33.263, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:36.263, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 01:59:36.263, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:39.264, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 01:59:39.264, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:42.264, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 01:59:42.265, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:45.265, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 01:59:45.265, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:48.266, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 01:59:48.266, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:51.266, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 01:59:51.267, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:54.267, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 01:59:54.267, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 01:59:57.268, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 01:59:57.268, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 02:00:00.268, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 26, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/21 02:00:00.269, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/21 02:00:03.269, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 1 %, 0 %, 16384 MiB, 15767 MiB, 393 MiB
